
+---------+------------------------------------------------------------------+-----------+-----------+---------------+--------------------+--------------------+------------------------------------------------------------------------------------------+
| ID de Bug | Descripción                                                      | Severidad | Estado    | Asignado a    | Fecha de Detección | Fecha de Resolución | Observaciones                                                                            |
| BUG050  | El cálculo de créditos en el registro no se actualiza en tiempo real. | Baja  | Abierto   | UX/UI         | 2024-09-22         | -                  | Falta un 'useEffect' que observe los cambios en las materias seleccionadas.        |
| BUG051  | Error de CORS al llamar a una API externa desde un flujo Genkit.  | Media     | Abierto   | Development   | 2024-09-23         | -                  | La Cloud Function necesita tener configurada la política de CORS correcta.           |
| BUG052  | Las notificaciones de 'toast' se acumulan y no desaparecen.        | Baja      | Resuelto  | UX/UI         | 2024-09-24         | 2024-09-24         | El componente Toaster no tenía un límite ni un timeout para auto-descartar.      |
| BUG053  | El estado del 'checkbox' en la lista de tareas no se guarda.      | Media     | Abierto   | Development   | 2024-09-25         | -                  | El estado está en memoria y no se persiste a la base de datos.                    |
| BUG054  | El avatar de usuario muestra las iniciales incorrectas.           | Baja      | Resuelto  | Development   | 2024-09-26         | 2024-09-26         | La función 'getInitials' no manejaba nombres compuestos correctamente.             |
| BUG055  | La evaluación docente permite enviar un formulario vacío.          | Baja      | Abierto   | Development   | 2024-09-27         | -                  | Faltan validaciones en el frontend para el rating y el comentario.               |
| BUG056  | El scroll del chat de soporte no se va al final con nuevos mensajes. | Baja    | Abierto   | UX/UI         | 2024-09-28         | -                  | Se necesita un 'ref' y un 'useEffect' para hacer scroll al fondo del div.        |
| BUG057  | Las notas de un estudiante eliminado permanecen en la DB.         | Media     | Abierto   | Development   | 2024-09-29         | -                  | No se está realizando una limpieza de datos relacionados al eliminar un usuario.   |
| BUG058  | Las imágenes de la landing page no están optimizadas para web.    | Media     | En Proceso| Performance   | 2024-09-30         | -                  | Las imágenes originales son muy pesadas. Se deben comprimir y usar 'next/image'.   |
| BUG059  | El campo de búsqueda en 'Mis Materias' no funciona.               | Baja      | Abierto   | Development   | 2024-10-01         | -                  | El 'onChange' del input no está conectado a una función de filtrado.             |
| BUG060  | El 'footer' se superpone con el contenido en pantallas pequeñas.  | Baja      | Resuelto  | UX/UI         | 2024-10-02         | 2024-10-02         | Faltaba un 'padding-bottom' en el contenedor principal de la página.             |
+---------+------------------------------------------------------------------+-----------+-----------+---------------+--------------------+--------------------+------------------------------------------------------------------------------------------+

